State,Total Beds,Participation,Year,Population,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
MO,8136,0.754,2011,6009641.0,10237,6718,2271,4657,3263,1394,4332,3455,877,1330,1059,271,1418,929,489,1156,792,364,262,137,125,852,627,225
MS,1373,0.463,2011,2978470.0,2413,1056,1250,1825,734,1091,481,322,159,141,93,48,471,135,336,438,126,312,33,9,24,205,114,91
MT,1207,0.503,2011,997221.0,1833,1216,552,1094,636,458,674,580,94,222,192,30,324,149,175,203,76,127,121,73,48,251,135,116
NC,10277,0.723,2011,9656754.0,13524,9245,3651,8303,6035,2268,4593,3210,1383,1460,1058,402,1476,916,560,1365,845,520,111,71,40,1248,941,307
ND,739,0.993,2011,685136.0,688,560,43,396,366,30,207,194,13,60,55,5,75,69,6,67,63,4,8,6,2,124,121,3
NE,3807,0.8390000000000001,2011,1840538.0,3789,3041,507,2210,1872,338,1338,1169,169,433,376,57,502,409,93,445,361,84,57,48,9,310,253,57
NH,1360,0.889,2011,1319815.0,1496,1159,310,820,631,189,649,528,121,243,203,40,226,148,78,166,93,73,60,55,5,126,118,8
NJ,7576,0.953,2011,8827783.0,13025,12830,1307,6841,5960,881,7296,6870,426,2556,2418,138,955,788,167,750,610,140,205,178,27,811,668,143
NM,2797,0.505,2011,2080395.0,3245,2753,848,2246,1581,665,1355,1172,183,430,371,59,1117,658,459,971,564,407,146,94,52,364,221,143
NV,4775,0.5579999999999999,2011,2712799.0,8497,4545,4605,7973,3403,4570,1177,1142,35,381,368,13,1353,196,1157,1342,187,1155,11,9,2,1240,692,548
NY,64083,0.888,2011,19498514.0,69566,59778,3667,27338,23842,3496,36107,35936,171,11988,11932,56,4208,2070,2138,3840,1755,2085,368,315,53,5765,5246,519
OH,11693,0.863,2011,11543463.0,13977,11224,1806,7812,6329,1483,5218,4895,323,1683,1582,101,2014,1382,632,1881,1288,593,133,94,39,1279,1083,196
OK,3632,0.68,2011,3787821.0,5032,2988,1637,3236,2070,1166,1389,918,471,469,311,158,793,418,375,568,307,261,225,111,114,356,301,55
OR,7377,0.579,2011,3871728.0,15828,7012,10242,9445,3249,6196,7809,3763,4046,2623,1242,1381,3739,916,2823,3017,704,2313,722,212,510,1474,655,819
PA,16363,0.8270000000000001,2011,12744583.0,14736,14036,1060,7867,6872,995,7229,7164,65,2396,2373,23,1719,1139,580,1508,938,570,211,201,10,1392,1262,130
RI,1300,0.853,2011,1053536.0,1277,1039,31,652,621,31,418,418,0,137,137,0,176,171,5,176,171,5,0,0,0,123,121,2
SC,3791,0.747,2011,4671422.0,4915,2954,2139,3505,1967,1538,1588,987,601,527,347,180,645,231,414,504,229,275,141,2,139,612,389,223
SD,1319,0.324,2011,823484.0,859,762,64,460,413,47,366,349,17,123,119,4,34,21,13,34,21,13,0,0,0,109,99,10
TN,6746,0.595,2011,6397410.0,9426,5915,3198,6475,4238,2237,2638,1677,961,910,539,371,1757,904,853,1661,828,833,96,76,20,965,732,233
TX,24323,0.674,2011,25646227.0,34052,18972,17939,23577,10407,13170,13334,8565,4769,4357,2906,1451,8223,3253,4970,7390,2695,4695,833,558,275,4891,2365,2526
UT,2954,0.823,2011,2814216.0,3527,2687,443,1842,1434,408,1288,1253,35,389,381,8,383,284,99,364,265,99,19,19,0,345,310,35
VA,7690,0.746,2011,8100469.0,8424,7386,1430,5231,4017,1214,3585,3369,216,1145,1084,61,1643,1029,614,1571,973,598,72,56,16,931,768,163
VT,805,0.696,2011,626979.0,1160,1021,123,637,533,104,507,488,19,156,150,6,114,87,27,94,67,27,20,20,0,81,75,6
WA,16669,0.81,2011,6821655.0,20504,15075,5364,10868,6218,4650,9571,8857,714,3040,2840,200,2388,1313,1075,2136,1211,925,252,102,150,1478,1167,311
WI,6692,0.895,2011,5704755.0,6027,5355,430,2838,2504,334,2947,2851,96,994,965,29,497,425,72,410,347,63,87,78,9,607,584,23
WV,1878,0.7090000000000001,2011,1856074.0,2410,1405,806,1662,992,670,549,413,136,207,156,51,299,189,110,287,179,108,12,10,2,302,236,66
WY,753,0.72,2011,567224.0,1813,195,843,320,127,193,718,68,650,223,29,194,104,27,77,82,27,55,22,0,22,83,39,44
