State,Year,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Homeless Individuals,Sheltered Total Homeless Individuals,Unsheltered Homeless Individuals,Homeless People in Families,Sheltered Total Homeless People in Families,Unsheltered Homeless People in Families,Homeless Family Households,Sheltered Total Homeless Family Households,Unsheltered Homeless Family Households,Chronically Homeless,Sheltered Total Chronically Homeless,Unsheltered Chronically Homeless,Chronically Homeless Individuals,Sheltered Total Chronically Homeless Individuals,Unsheltered Chronically Homeless Individuals,Chronically Homeless People in Families,Sheltered Total Chronically Homeless People in Families,Unsheltered Chronically Homeless People in Families,Homeless Veterans,Sheltered Total Homeless Veterans,Unsheltered Homeless Veterans
NY,2017,89503,84948,4555,37390,32890,4500,52113,52058,55,16297,16281,16,6578,4598,1980,5087,3110,1977,1491,1488,3,1244,1186,58
OH,2017,10095,8786,1309,6688,5494,1194,3407,3292,115,1025,991,34,772,425,347,725,396,329,47,29,18,862,785,77
OK,2017,4199,3084,1115,2824,1992,832,1375,1092,283,480,369,111,660,348,312,578,295,283,82,53,29,349,235,114
OR,2017,13953,5986,7967,10434,4293,6141,3519,1693,1826,1083,540,543,3387,868,2519,3120,768,2352,267,100,167,1251,583,668
PA,2017,14138,12340,1798,8271,6529,1742,5867,5811,56,1946,1930,16,1438,828,610,1372,768,604,66,60,6,963,875,88
PR,2017,3525,1013,2512,3141,800,2341,384,213,171,118,74,44,1078,142,936,1065,142,923,13,0,13,94,30,64
RI,2017,1180,1111,69,802,733,69,378,378,0,106,106,0,240,215,25,240,215,25,0,0,0,95,92,3
SC,2017,3916,2415,1501,2896,1667,1229,1020,748,272,325,254,71,824,236,588,792,226,566,32,10,22,480,321,159
SD,2017,943,772,171,611,452,159,332,320,12,124,121,3,144,112,32,101,81,20,43,31,12,130,123,7
TN,2017,8309,5544,2765,6137,3883,2254,2172,1661,511,655,494,161,1484,571,913,1295,482,813,189,89,100,757,615,142
TX,2017,23548,15055,8493,16708,8714,7994,6840,6341,499,2168,1986,182,3711,1481,2230,3497,1319,2178,214,162,52,2200,1379,821
UT,2017,2852,2574,278,1882,1604,278,970,970,0,281,281,0,185,141,44,163,119,44,22,22,0,220,203,17
VA,2017,6067,5059,1008,4028,3049,979,2039,2010,29,631,620,11,896,531,365,864,501,363,32,30,2,478,384,94
VI,2017,381,74,307,369,62,307,12,12,0,3,3,0,334,27,307,334,27,307,0,0,0,23,6,17
VT,2017,1225,1091,134,697,600,97,528,491,37,179,170,9,127,94,33,111,82,29,16,12,4,94,89,5
WA,2017,21112,12521,8591,14781,6733,8048,6331,5788,543,1993,1823,170,4939,1747,3192,4357,1290,3067,582,457,125,2093,1094,999
WI,2017,5027,4687,340,2645,2317,328,2382,2370,12,743,739,4,434,367,67,342,275,67,92,92,0,329,309,20
WV,2017,1309,1121,188,1032,860,172,277,261,16,95,91,4,206,140,66,188,131,57,18,9,9,137,124,13
WY,2017,873,510,363,622,383,239,251,127,124,96,55,41,68,26,42,14,14,0,54,12,42,63,50,13
AK,2016,1940,1498,442,1527,1089,438,413,409,4,135,134,1,122,94,28,112,84,28,10,10,0,168,112,56
AL,2016,4111,2893,1218,3019,2017,1002,1092,876,216,356,293,63,420,172,248,390,163,227,30,9,21,373,321,52
AR,2016,2463,1616,847,1838,1140,698,625,476,149,191,147,44,503,226,277,417,163,254,86,63,23,222,159,63
AZ,2016,9707,6463,3244,6659,3564,3095,3048,2899,149,917,877,40,1395,468,927,1327,423,904,68,45,23,1036,663,373
CA,2016,118142,39752,78390,97660,23720,73940,20482,16032,4450,6764,5175,1589,31548,4478,27070,29802,3910,25892,1746,568,1178,9612,4012,5600
CO,2016,10550,7611,2939,6450,4352,2098,4100,3259,841,1200,959,241,1829,949,880,1642,883,759,187,66,121,1181,906,275
CT,2016,3902,3229,673,2570,1903,667,1332,1326,6,449,447,2,467,282,185,439,254,185,28,28,0,216,173,43
DC,2016,8350,8032,318,3683,3365,318,4667,4667,0,1491,1491,0,1597,1357,240,1501,1261,240,96,96,0,350,322,28
DE,2016,1070,1019,51,753,702,51,317,317,0,108,108,0,74,72,2,65,63,2,9,9,0,107,103,4
FL,2016,33559,18198,15361,24201,11641,12560,9358,6557,2801,3031,2102,929,5895,1402,4493,5415,1219,4196,480,183,297,2902,1825,1077
GA,2016,12909,7543,5366,9265,4785,4480,3644,2758,886,1145,920,225,1815,470,1345,1658,415,1243,157,55,102,1055,581,474
GU,2016,1085,112,973,227,18,209,858,94,764,158,23,135,55,0,55,15,0,15,40,0,40,21,6,15
HI,2016,7921,3613,4308,4590,1282,3308,3331,2331,1000,805,569,236,1949,137,1812,1659,120,1539,290,17,273,670,264,406
IA,2016,3064,2921,143,1543,1400,143,1521,1521,0,466,466,0,184,137,47,159,112,47,25,25,0,170,154,16
ID,2016,2247,1509,738,1284,886,398,963,623,340,291,197,94,337,160,177,227,99,128,110,61,49,267,202,65
IL,2016,11590,9736,1854,6986,5226,1760,4604,4510,94,1461,1431,30,1024,620,404,937,562,375,87,58,29,949,713,236
IN,2016,5798,5107,691,3824,3158,666,1974,1949,25,609,604,5,589,374,215,534,319,215,55,55,0,663,614,49
KS,2016,2255,1973,282,1228,956,272,1027,1017,10,343,340,3,362,254,108,233,129,104,129,125,4,169,138,31
KY,2016,4237,3531,706,2949,2400,549,1288,1131,157,410,365,45,382,235,147,353,218,135,29,17,12,512,452,60
LA,2016,3994,2853,1141,3176,2069,1107,818,784,34,243,231,12,570,167,403,570,167,403,0,0,0,400,363,37
MA,2016,19608,18848,760,6434,5690,744,13174,13158,16,4381,4374,7,2325,2074,251,1272,1023,249,1053,1051,2,949,915,34
MD,2016,7689,6161,1528,4983,3751,1232,2706,2410,296,866,777,89,1364,844,520,1277,782,495,87,62,25,555,436,119
ME,2016,2241,2121,120,1321,1215,106,920,906,14,297,292,5,217,174,43,199,156,43,18,18,0,146,125,21
MI,2016,9316,8356,960,5803,4973,830,3513,3383,130,1109,1073,36,776,579,197,719,525,194,57,54,3,822,758,64
MN,2016,7341,6452,889,3669,2902,767,3672,3550,122,1065,1034,31,873,718,155,715,570,145,158,148,10,279,248,31
MO,2016,6194,4978,1216,3810,2830,980,2384,2148,236,767,703,64,1136,765,371,891,565,326,245,200,45,575,494,81
MP,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2016,1738,889,849,1299,556,743,439,333,106,133,101,32,183,28,155,180,28,152,3,0,3,144,58,86
MT,2016,1418,788,630,844,443,401,574,345,229,172,113,59,137,26,111,117,21,96,20,5,15,165,92,73
NC,2016,9559,7250,2309,6396,4682,1714,3163,2568,595,1041,845,196,1184,638,546,999,527,472,185,111,74,888,730,158
ND,2016,923,707,216,662,509,153,261,198,63,70,58,12,120,41,79,89,41,48,31,0,31,116,63,53
NE,2016,2754,2653,101,1880,1779,101,874,874,0,280,280,0,233,196,37,200,163,37,33,33,0,219,211,8
NH,2016,1366,1223,143,827,695,132,539,528,11,185,181,4,281,216,65,227,164,63,54,52,2,123,119,4
NJ,2016,8895,7461,1434,5540,4187,1353,3355,3274,81,1123,1098,25,822,399,423,704,291,413,118,108,10,556,485,71
NM,2016,2263,1809,454,1556,1127,429,707,682,25,229,223,6,649,378,271,603,342,261,46,36,10,214,150,64
NV,2016,7398,3471,3927,6853,2937,3916,545,534,11,180,176,4,347,62,285,330,45,285,17,17,0,851,437,414
NY,2016,86352,82761,3591,35315,31793,3522,51037,50968,69,15499,15474,25,5368,3299,2069,4112,2063,2049,1256,1236,20,1248,1156,92
OH,2016,10404,9266,1138,6946,5890,1056,3458,3376,82,1079,1061,18,778,439,339,733,403,330,45,36,9,930,845,85
OK,2016,4107,3087,1020,2997,2120,877,1110,967,143,360,313,47,696,405,291,610,329,281,86,76,10,358,260,98
OR,2016,13238,5236,8002,9379,3658,5721,3859,1578,2281,1315,506,809,3460,554,2906,3077,506,2571,383,48,335,1341,603,738
PA,2016,15339,13664,1675,8599,7080,1519,6740,6584,156,2200,2152,48,1325,787,538,1209,673,536,116,114,2,1136,1088,48
PR,2016,4418,1321,3097,3799,899,2900,619,422,197,188,139,49,1772,211,1561,1623,203,1420,149,8,141,146,37,109
RI,2016,1160,1123,37,859,822,37,301,301,0,93,93,0,144,141,3,136,133,3,8,8,0,89,89,0
SC,2016,5051,3361,1690,3758,2340,1418,1293,1021,272,409,329,80,988,448,540,913,395,518,75,53,22,738,452,286
SD,2016,1072,887,185,548,446,102,524,441,83,170,143,27,44,37,7,34,30,4,10,7,3,120,109,11
TN,2016,8779,5773,3006,6652,4202,2450,2127,1571,556,710,534,176,1782,694,1088,1640,613,1027,142,81,61,831,654,177
TX,2016,23122,16214,6908,15959,9315,6644,7163,6899,264,2297,2216,81,3689,1637,2052,3534,1500,2034,155,137,18,1768,1285,483
UT,2016,2807,2571,236,1828,1612,216,979,959,20,298,291,7,190,180,10,168,158,10,22,22,0,335,311,24
VA,2016,6268,5502,766,3959,3245,714,2309,2257,52,737,720,17,793,568,225,750,525,225,43,43,0,515,439,76
VI,2016,341,89,252,308,56,252,33,33,0,11,11,0,26,8,18,26,8,18,0,0,0,32,2,30
VT,2016,1117,961,156,655,516,139,462,445,17,158,152,6,127,81,46,120,74,46,7,7,0,110,97,13
WA,2016,20827,12361,8466,13900,6389,7511,6927,5972,955,2185,1878,307,2567,981,1586,2307,825,1482,260,156,104,1484,999,485
WI,2016,5685,5275,410,2886,2495,391,2799,2780,19,862,856,6,363,296,67,276,209,67,87,87,0,415,392,23
WV,2016,1387,1252,135,1039,904,135,348,348,0,113,113,0,165,117,48,161,113,48,4,4,0,143,126,17
WY,2016,857,491,366,517,277,240,340,214,126,110,77,33,91,33,58,80,29,51,11,4,7,87,56,31
AK,2015,1956,1639,317,1342,1084,258,614,555,59,180,163,17,222,81,141,182,70,112,40,11,29,180,149,31
AL,2015,3970,2943,1027,2868,2076,792,1102,867,235,360,287,73,607,168,439,557,157,400,50,11,39,474,399,75
AR,2015,2560,1678,882,1833,1089,744,727,589,138,240,198,42,623,319,304,524,234,290,99,85,14,456,385,71
AZ,2015,9896,6939,2957,6548,3824,2724,3348,3115,233,1002,937,65,1366,344,1022,1246,297,949,120,47,73,1220,672,548
CA,2015,115738,42039,73699,93156,24843,68313,22582,17196,5386,7195,5593,1602,32227,5077,27150,29178,4169,25009,3049,908,2141,11311,4309,7002
CO,2015,9953,7134,2819,5729,3739,1990,4224,3395,829,1242,996,246,1877,882,995,1572,754,818,305,128,177,950,644,306
CT,2015,4047,3421,626,2719,2124,595,1328,1297,31,456,445,11,583,278,305,538,240,298,45,38,7,282,241,41
DC,2015,7298,6754,544,3821,3277,544,3477,3477,0,1131,1131,0,1790,1470,320,1593,1273,320,197,197,0,408,366,42
DE,2015,953,916,37,602,565,37,351,351,0,115,115,0,80,75,5,64,59,5,16,16,0,79,74,5
FL,2015,35900,18883,17017,26325,12033,14292,9575,6850,2725,3053,2107,946,6540,1383,5157,6021,1210,4811,519,173,346,3926,2372,1554
GA,2015,13790,7987,5803,9702,4783,4919,4088,3204,884,1236,1014,222,2137,622,1515,1994,568,1426,143,54,89,1548,866,682
GU,2015,1280,87,1193,306,23,283,974,64,910,180,14,166,153,0,153,27,0,27,126,0,126,23,1,22
HI,2015,7620,3777,3843,4307,1243,3064,3313,2534,779,798,613,185,1534,180,1354,1372,153,1219,162,27,135,692,275,417
IA,2015,3081,2878,203,1501,1302,199,1580,1576,4,496,495,1,275,221,54,201,147,54,74,74,0,207,175,32
ID,2015,1966,1497,469,1172,832,340,794,665,129,251,213,38,245,112,133,164,84,80,81,28,53,249,174,75
IL,2015,13177,10463,2714,8152,5599,2553,5025,4864,161,1648,1597,51,1912,994,918,1799,892,907,113,102,11,1226,769,457
IN,2015,5863,5280,583,3914,3353,561,1949,1927,22,636,631,5,703,529,174,608,450,158,95,79,16,790,726,64
KS,2015,2588,2283,305,1466,1191,275,1122,1092,30,346,334,12,379,245,134,339,214,125,40,31,9,311,276,35
KY,2015,4538,3796,742,3151,2622,529,1387,1174,213,467,398,69,457,413,44,383,345,38,74,68,6,591,541,50
LA,2015,4081,2890,1191,3217,2053,1164,864,837,27,285,276,9,773,287,486,735,255,480,38,32,6,392,350,42
MA,2015,21135,20542,593,6378,5814,564,14757,14728,29,4903,4892,11,2561,2320,241,1411,1170,241,1150,1150,0,1133,1101,32
MD,2015,8390,6594,1796,5383,3987,1396,3007,2607,400,970,847,123,1847,1016,831,1634,923,711,213,93,120,714,586,128
ME,2015,2372,2313,59,1219,1170,49,1153,1143,10,358,355,3,217,203,14,193,179,14,24,24,0,151,142,9
MI,2015,10516,9444,1072,6546,5553,993,3970,3891,79,1285,1261,24,935,621,314,830,519,311,105,102,3,1067,991,76
MN,2015,7546,6705,841,3622,2987,635,3924,3718,206,1192,1121,71,1396,1054,342,1124,833,291,272,221,51,297,253,44
MO,2015,6482,5411,1071,3434,2640,794,3048,2771,277,926,845,81,1025,652,373,875,536,339,150,116,34,540,430,110
MP,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS,2015,1983,1141,842,1475,693,782,508,448,60,152,138,14,243,67,176,233,67,166,10,0,10,206,87,119
MT,2015,1709,837,872,1127,478,649,582,359,223,182,120,62,166,26,140,154,23,131,12,3,9,277,98,179
NC,2015,10685,8260,2425,7156,5372,1784,3529,2888,641,1110,921,189,1364,682,682,1253,605,648,111,77,34,1092,904,188
ND,2015,1305,819,486,864,591,273,441,228,213,123,71,52,138,68,70,70,52,18,68,16,52,137,90,47
NE,2015,2744,2621,123,1720,1597,123,1024,1024,0,327,327,0,322,266,56,257,201,56,65,65,0,247,231,16
